,Corn,DOW,Gold,Oil,Twitter
2013-04-02,640.5,14572.849609,1597.750,97.23,0.12044817927170867
2013-04-03,641.5,14662.009766,1568.500,95.02,0.1638888888888889
2013-04-04,630.0,14550.349609,1545.250,93.26,0.14
2013-04-05,629.0,14606.110352000002,1552.750,92.76,0.12550607287449392
2013-04-08,633.5,14565.25,1577.250,93.36,0.044000000000000004
2013-04-09,644.25,14613.480469,1572.500,94.18,0.008
2013-04-10,649.0,14673.459961000002,1581.500,94.59,0.084
2013-04-11,651.25,14802.240234,1555.750,93.44,0.064
2013-04-12,658.5,14865.139647999998,1548.000,91.23,0.07630522088353414
2013-04-15,646.75,14865.05957,1416.000,88.75,0.1
2013-04-16,663.25,14599.200195,1378.000,88.73,0.045267489711934165
2013-04-17,660.5,14756.780272999998,1379.000,86.65,0.07400000000000001
2013-04-18,644.5,14618.589844,1397.000,87.83,0.098
2013-04-19,652.0,14537.139647999998,1414.000,88.04,0.062
2013-04-22,645.75,14547.509766,1425.000,88.81,0.10027855153203342
2013-04-23,638.5,14567.169922,1417.250,89.21,0.06989247311827956
2013-04-24,639.5,14719.459961000002,1424.500,91.07,0.07
2013-04-25,645.25,14676.299805,1446.500,93.27,0.1026694045174538
2013-04-26,644.0,14700.799805,1462.250,92.63,0.11990407673860913
2013-04-29,684.0,14712.549805,1472.500,94.09,0.1318407960199005
2013-04-30,683.25,14818.75,1472.750,93.22,0.13347022587268995
2013-05-01,681.75,14839.799805,1469.500,90.74,0.07598039215686274
2013-05-02,697.5,14700.950195,1456.000,93.70,0.10732984293193716
2013-05-03,699.5,14831.580078,1476.500,95.25,0.06784660766961652
2013-05-07,676.5,14968.889647999998,1463.000,95.28,0.02
2013-05-08,675.0,15056.200195,1454.000,96.24,0.09
2013-05-09,694.5,15105.120116999999,1469.500,96.09,0.068
2013-05-10,687.75,15082.620116999999,1449.250,95.81,0.0764872521246459
2013-05-13,718.0,15113.419922,1429.750,94.76,0.06984126984126984
2013-05-14,706.75,15091.679688,1436.500,93.96,0.14882506527415146
2013-05-15,650.75,15211.870116999999,1412.250,93.95,0.09198113207547168
2013-05-16,641.5,15273.919922,1377.000,94.85,0.023923444976076555
2013-05-17,652.75,15234.75,1376.750,95.72,0.023880597014925373
2013-05-20,649.5,15348.330078,1353.750,96.29,0.12
2013-05-21,640.0,15334.969727000002,1378.750,95.55,-0.013999999999999999
2013-05-22,658.5,15387.120116999999,1385.250,93.98,0.027999999999999997
2013-05-23,662.0,15300.570313,1386.000,94.12,0.012
2013-05-24,657.25,15290.740234,1385.250,93.84,0.14
2013-05-28,666.5,15307.330078,1379.000,94.65,0.07887323943661972
2013-05-29,665.0,15399.94043,1384.500,93.13,0.06788511749347259
2013-05-30,654.25,15306.019531,1406.250,93.57,0.0148619957537155
2013-05-31,662.0,15322.219727000002,1410.250,91.93,0.034229828850855744
2013-06-03,655.75,15123.549805,1396.750,93.41,0.09774436090225563
2013-06-04,660.5,15255.219727000002,1405.250,93.36,0.09162303664921466
2013-06-05,660.75,15168.099609,1396.500,93.66,0.13580246913580246
2013-06-06,663.25,14955.450195,1399.500,94.71,-0.02012072434607646
2013-06-07,666.25,15044.459961000002,1410.000,96.11,0.106
2013-06-10,650.0,15247.80957,1376.750,95.82,-0.002
2013-06-11,659.5,15231.379883000001,1369.500,95.50,-0.036000000000000004
2013-06-12,650.75,15130.389647999998,1377.250,95.98,0.018000000000000002
2013-06-13,643.5,14992.540038999998,1386.250,96.66,0.057999999999999996
2013-06-14,655.0,15178.080078,1379.750,97.83,0.02
2013-06-17,668.5,15078.709961000002,1386.000,97.86,0.08314606741573034
2013-06-18,673.25,15186.299805,1378.500,98.46,0.05612244897959184
2013-06-19,682.25,15315.469727000002,1366.000,98.24,0.027999999999999997
2013-06-20,673.25,15105.509766,1303.250,94.89,0.086
2013-06-21,661.75,14760.620116999999,1290.250,93.81,0.06872037914691942
2013-06-24,653.25,14795.790038999998,1283.250,95.07,0.04867256637168142
2013-06-25,656.75,14669.69043,1285.000,95.25,0.102
2013-06-26,664.5,14769.990234,1229.000,95.47,0.11199999999999999
2013-06-27,667.25,14921.280272999998,1232.000,97.00,0.07400000000000001
2013-06-28,679.25,15016.580078,1203.250,96.36,0.0945273631840796
2013-07-01,655.5,14911.599609,1243.500,97.94,0.07
2013-07-02,672.75,14974.959961000002,1260.750,99.65,0.048936170212765966
2013-07-03,678.25,14923.730469,1246.000,101.92,0.08021390374331551
2013-07-05,684.75,14995.459961000002,1232.750,103.09,0.05555555555555555
2013-07-08,691.75,15137.219727000002,1225.500,103.03,0.09734513274336284
2013-07-09,704.0,15228.459961000002,1252.000,103.46,0.06649616368286446
2013-07-10,709.75,15298.030272999998,1252.250,106.41,0.06206896551724138
2013-07-11,716.75,15298.0,1280.750,104.77,0.07
2013-07-12,701.5,15460.69043,1275.000,105.85,0.096
2013-07-15,536.25,15459.69043,1281.250,106.20,0.07352941176470587
2013-07-16,545.25,15485.030272999998,1286.000,105.88,0.048
2013-07-17,538.5,15456.919922,1284.250,106.39,0.06887755102040816
2013-07-18,541.0,15465.910156,1279.750,107.94,0.04377880184331797
2013-07-19,544.0,15524.269531,1286.000,108.00,-0.004
2013-07-22,540.75,15543.969727000002,1313.750,106.61,0.07272727272727272
2013-07-23,522.5,15547.0,1326.750,107.13,0.05226480836236934
2013-07-24,508.25,15576.69043,1340.000,105.41,0.07861635220125786
2013-07-25,496.0,15539.169922,1312.000,105.47,0.132890365448505
2013-07-26,492.0,15547.849609,1327.750,104.76,0.07749077490774907
2013-07-29,489.25,15557.139647999998,1330.750,104.61,0.10256410256410256
2013-07-30,495.5,15534.490234,1322.250,103.14,0.05105105105105105
2013-07-31,499.0,15528.570313,1331.500,105.10,0.09
2013-08-01,487.5,15503.849609,1323.750,107.93,0.07977207977207977
2013-08-02,476.0,15627.55957,1285.750,106.94,0.05647840531561463
2013-08-05,469.25,15651.980469,1311.000,106.61,0.0673758865248227
2013-08-06,472.25,15608.44043,1292.000,105.32,0.04693140794223827
2013-08-07,468.25,15516.209961000002,1275.500,104.41,0.0711864406779661
2013-08-08,473.5,15477.269531,1287.750,103.45,0.06868131868131869
2013-08-09,465.75,15496.629883000001,1305.500,106.04,0.04129793510324484
2013-08-12,472.0,15415.219727000002,1325.750,106.19,0.07202216066481995
2013-08-13,455.25,15420.679688,1334.000,106.78,0.006993006993006993
2013-08-14,464.75,15447.709961000002,1323.250,106.89,0.04435483870967742
2013-08-15,481.5,15332.709961000002,1339.500,107.43,0.027999999999999997
2013-08-16,473.75,15112.570313,1360.750,107.58,0.05822784810126583
2013-08-19,493.25,15076.790038999998,1375.250,107.14,0.0547945205479452
2013-08-20,483.75,15011.820313,1365.750,104.90,0.05465587044534413
2013-08-21,498.0,14993.80957,1360.000,103.93,0.09907120743034056
2013-08-22,487.5,14908.599609,1370.500,104.93,0.07317073170731707
2013-08-23,495.5,14988.780272999998,1374.500,106.48,0.054000000000000006
2013-08-27,499.75,14939.25,1411.000,109.11,0.07200000000000001
2013-08-28,504.25,14770.990234,1425.500,110.17,0.06341463414634146
2013-08-29,497.25,14817.910156,1406.250,108.51,0.04398826979472141
2013-08-30,495.0,14844.099609,1392.750,107.98,0.02466367713004484
2013-09-03,498.0,14801.549805,1391.250,108.67,0.04
2013-09-04,494.0,14832.419922,1403.750,107.29,0.086
2013-09-05,489.5,14929.490234,1391.750,108.50,0.062
2013-09-06,491.5,14941.549805,1368.250,110.62,0.096
2013-09-09,477.25,14927.19043,1386.000,109.62,0.044000000000000004
2013-09-10,474.75,15067.230469,1373.000,107.48,0.0379746835443038
2013-09-11,479.75,15194.129883000001,1365.250,107.65,0.0389344262295082
2013-09-12,479.0,15327.139647999998,1340.250,108.72,0.054892601431980916
2013-09-13,450.0,15312.860352000002,1308.250,108.31,0.03
2013-09-16,456.5,15381.360352000002,1314.750,106.54,-0.0136986301369863
2013-09-17,454.0,15503.150391,1317.250,105.36,0.08800000000000001
2013-09-18,456.25,15533.030272999998,1299.750,108.23,0.004662004662004662
2013-09-19,459.5,15677.860352000002,1363.500,106.26,0.06801007556675064
2013-09-20,451.0,15635.089844,1355.250,104.70,0.03480278422273782
2013-09-23,453.25,15452.30957,1321.750,103.62,0.10800000000000001
2013-09-24,448.75,15402.540038999998,1316.500,103.22,0.09368635437881874
2013-09-25,454.75,15339.019531,1320.250,102.68,0.096514745308311
2013-09-26,456.75,15274.419922,1332.500,103.10,0.11780104712041885
2013-09-27,454.0,15317.450195,1321.500,102.86,0.076
2013-09-30,441.5,15249.820313,1335.750,102.36,0.16
2013-10-01,439.0,15132.490234,1332.250,102.09,0.15759312320916904
2013-10-02,439.0,15182.650391,1293.750,104.15,0.222
2013-10-03,439.25,15127.230469,1309.000,103.29,0.12396694214876032
2013-10-04,443.25,14994.679688,1316.000,103.83,0.14854111405835546
2013-10-07,449.25,15069.299805,1311.000,103.07,0.02717391304347826
2013-10-08,441.75,14938.040038999998,1321.000,103.54,0.04205607476635514
2013-10-09,443.5,14778.19043,1309.500,101.63,0.08144796380090498
2013-10-10,438.25,14806.389647999998,1298.000,103.08,0.10554089709762532
2013-10-11,433.25,15126.519531,1285.750,102.17,0.10094637223974763
2013-10-14,437.0,15231.330078,1276.000,102.46,0.03896103896103896
2013-10-15,443.5,15300.299805,1255.500,101.15,0.125
2013-10-16,442.75,15170.700195,1278.250,102.34,0.1168384879725086
2013-10-17,443.0,15369.459961000002,1308.500,100.72,0.10666666666666667
2013-10-18,441.5,15371.709961000002,1317.000,100.87,0.12028301886792453
2013-10-21,444.0,15401.320313,1316.000,99.28,0.0979498861047836
2013-10-22,438.25,15394.219727000002,1311.750,97.63,0.11800000000000001
2013-10-23,442.75,15465.339844,1333.000,96.90,0.08126410835214448
2013-10-24,440.25,15414.870116999999,1336.250,96.65,0.057999999999999996
2013-10-25,440.0,15523.719727000002,1341.750,97.40,0.10887096774193547
2013-10-28,430.75,15569.19043,1351.000,98.74,0.10303030303030304
2013-10-29,432.0,15572.209961000002,1346.750,98.29,0.09142857142857144
2013-10-30,430.25,15680.740234,1349.500,96.81,0.16338028169014085
2013-10-31,428.25,15619.919922,1333.750,96.29,0.13069908814589665
2013-11-01,427.25,15558.009766,1314.750,94.56,0.02228412256267409
2013-11-04,426.25,15621.200195,1314.250,94.58,0.15980629539951574
2013-11-05,425.0,15631.219727000002,1311.250,93.40,0.01590909090909091
2013-11-06,421.25,15628.719727000002,1317.000,94.74,0.132
2013-11-07,420.5,15751.30957,1316.000,94.25,0.11199999999999999
2013-11-08,426.75,15591.540038999998,1309.000,94.56,0.06680161943319839
2013-11-11,434.75,15759.280272999998,1283.750,95.13,-0.0121580547112462
2013-11-12,432.25,15773.150391,1281.000,93.12,0.04371584699453552
2013-11-13,429.75,15739.5,1276.000,93.91,0.08396946564885496
2013-11-14,426.5,15806.219727000002,1283.250,93.76,0.13802083333333334
2013-11-15,422.0,15876.160156,1281.750,93.80,0.10282776349614396
2013-11-18,412.0,15962.719727000002,1283.500,93.03,0.076
2013-11-19,417.75,15974.05957,1272.250,93.35,0.076
2013-11-20,417.0,15971.200195,1271.500,93.34,0.066
2013-11-21,423.0,15908.070313,1248.500,95.35,0.13
2013-11-22,422.25,16008.709961000002,1241.750,94.53,0.11599999999999999
2013-11-25,424.75,16072.089844,1231.750,93.86,0.040268456375838924
2013-11-26,418.5,16070.929688,1250.750,93.41,0.055999999999999994
2013-11-27,417.25,16073.370116999999,1250.750,92.05,0.066
2013-11-29,415.25,16105.160156,1245.250,92.55,0.07165109034267912
2013-12-02,416.5,16087.120116999999,1237.500,93.61,0.0963855421686747
2013-12-03,422.0,16004.719727000002,1219.000,95.83,0.098
2013-12-04,425.5,15910.509766,1213.000,96.97,0.1023454157782516
2013-12-05,422.75,15886.5,1234.000,97.14,0.060851926977687626
2013-12-06,424.0,15825.549805,1230.750,97.48,0.08240534521158129
2013-12-09,428.5,16019.490234,1228.500,97.10,0.07352941176470587
2013-12-10,427.5,16024.120116999999,1245.750,98.32,0.06880733944954129
2013-12-11,431.25,15970.75,1255.250,97.25,0.12955465587044535
2013-12-12,428.25,15844.820313,1243.500,97.21,0.07816091954022987
2013-12-13,420.5,15745.660156,1222.750,96.27,0.07173913043478261
2013-12-16,423.25,15759.599609,1229.500,97.18,0.06784660766961652
2013-12-17,426.75,15884.05957,1237.250,96.99,0.04830917874396135
2013-12-18,425.0,15876.570313,1233.250,97.59,0.040816326530612235
2013-12-19,430.5,16162.509766,1205.250,98.40,0.10309278350515463
2013-12-20,433.25,16178.570313,1195.000,99.11,0.04659498207885305
2013-12-23,434.25,16225.25,1192.750,98.62,0.13170731707317074
2013-12-24,434.5,16295.700195,1196.500,98.87,0.09205020920502092
2013-12-27,427.5,16486.369141,1209.250,99.94,0.04901960784313725
2013-12-30,423.5,16484.509766,1201.500,98.90,0.12350597609561753
2013-12-31,422.0,16512.380859,1201.500,98.17,0.17410714285714285
2014-01-02,420.5,16572.169922,1219.750,95.14,0.0528169014084507
2014-01-03,423.5,16456.890625,1232.250,93.66,0.08450704225352113
2014-01-06,427.75,16474.039063,1238.000,93.12,0.09187279151943464
2014-01-07,426.0,16429.019531,1237.500,93.31,0.1076923076923077
2014-01-08,417.0,16527.660156,1226.500,91.90,0.059006211180124224
2014-01-09,412.0,16471.410156,1226.000,91.36,0.1258741258741259
2014-01-10,432.75,16453.619141,1232.250,92.39,0.14696485623003194
2014-01-13,434.5,16434.029297,1246.000,91.45,0.09466019417475728
2014-01-14,431.5,16261.990234,1248.750,92.15,0.064343163538874
2014-01-15,425.75,16378.030272999998,1238.000,93.78,0.03197674418604651
2014-01-16,428.0,16477.699219,1237.250,93.54,0.08917197452229299
2014-01-17,424.0,16408.019531,1241.000,93.96,0.07567567567567568
2014-01-21,425.0,16459.269531,1247.750,94.51,0.07578947368421053
2014-01-22,426.25,16420.480469,1239.500,96.35,0.08310991957104558
2014-01-23,429.0,16371.990234,1244.250,97.23,0.08686440677966102
2014-01-24,429.5,16203.290038999998,1259.250,96.66,0.12708333333333333
2014-01-27,431.75,15879.049805,1270.000,95.82,0.10800000000000001
2014-01-28,432.0,15840.839844,1253.500,97.49,0.0891566265060241
2014-01-29,427.5,15927.080078,1254.750,97.34,0.0875
2014-01-30,433.5,15743.030272999998,1254.000,98.25,0.04878048780487805
2014-01-31,434.0,15847.19043,1246.500,97.55,0.128
2014-02-03,435.75,15697.69043,1246.500,96.44,0.264
2014-02-04,441.75,15372.929688,1253.000,97.24,0.20800000000000002
2014-02-05,443.25,15443.0,1257.000,97.40,0.146
2014-02-06,443.0,15443.830078,1258.500,97.84,0.126
2014-02-07,444.25,15630.639647999998,1260.000,99.98,0.11299435028248588
2014-02-10,443.0,15793.629883000001,1273.500,100.12,0.11188811188811187
2014-02-11,441.5,15804.169922,1282.750,99.96,0.1084070796460177
2014-02-12,440.0,15993.040038999998,1286.500,100.38,0.046
2014-02-13,440.5,15946.990234,1290.250,100.27,0.0767590618336887
2014-02-14,445.25,16018.080078,1308.500,100.31,0.0583941605839416
2014-02-18,449.5,16153.969727000002,1314.000,102.54,0.1585677749360614
2014-02-19,453.75,16126.230469,1318.750,103.46,0.11946902654867254
2014-02-20,455.75,16044.150391,1313.750,103.20,0.08297872340425531
2014-02-21,453.0,16135.919922,1320.750,102.53,0.14066496163682865
2014-02-24,451.5,16102.269531,1333.000,103.17,0.08800000000000001
2014-02-25,455.75,16207.339844,1332.750,102.20,0.07276507276507277
2014-02-26,455.5,16180.360352000002,1340.000,102.93,0.08695652173913042
2014-02-27,448.0,16197.700195,1331.000,102.68,0.09343434343434344
2014-02-28,457.5,16273.230469,1327.750,102.88,0.1173469387755102
2014-03-03,464.0,16321.709961000002,1344.250,105.34,0.086
2014-03-04,476.75,16169.320313,1339.500,103.64,0.102
2014-03-05,475.25,16395.880859,1333.500,101.75,0.07621247113163973
2014-03-06,485.75,16360.55957,1334.250,101.82,0.05670103092783505
2014-03-07,481.0,16424.529297,1348.250,102.82,0.11461318051575932
2014-03-10,472.0,16453.099609,1334.250,101.39,0.10032362459546926
2014-03-11,478.0,16419.390625,1348.000,100.29,0.08866995073891626
2014-03-12,484.25,16350.669922,1355.750,98.29,0.054455445544554455
2014-03-13,484.25,16341.549805,1371.000,98.57,0.10135135135135136
2014-03-14,472.25,16106.320313,1370.000,99.23,0.04612159329140461
2014-03-17,479.0,16066.370116999999,1379.000,98.43,0.09090909090909093
2014-03-18,486.25,16245.929688,1362.500,100.08,0.10800000000000001
2014-03-19,487.75,16335.709961000002,1346.000,100.71,0.09207161125319692
2014-03-20,478.5,16221.980469,1327.000,99.68,0.07709251101321586
2014-03-21,479.0,16332.69043,1338.500,99.97,0.092
2014-03-24,490.0,16303.280272999998,1322.000,100.05,0.027999999999999997
2014-03-25,486.5,16279.200195,1314.750,99.66,0.064
2014-03-26,484.5,16370.709961000002,1314.500,100.61,0.07966457023060798
2014-03-27,492.0,16268.669922,1295.000,101.25,0.14800000000000002
2014-03-28,492.0,16267.769531,1295.750,101.73,0.166
2014-03-31,502.0,16324.219727000002,1294.000,101.57,0.09052631578947368
2014-04-01,507.5,16458.050781,1286.50,99.69,0.10669456066945608
2014-04-02,495.75,16532.800781,1284.000,99.60,0.142
2014-04-03,500.0,16572.359375,1287.250,100.29,0.162
